['千界科技-国家高企十年老店'],[],[]
['尧璧信科十年专注品质服务'],['微信小程序软件开发外包PYTHON分销商城物联网定制SAAS'],['￥1888']
['数维特科技-*高新技术企业'],['电商采集/数据抓取/网页网站抓取/'],['￥1500']
['美浪鱼科技'],['采集软件'],['￥10']
['江苏版石股份有限公司北京分公司'],['工程师'],['￥1']
['来客科技-高新企业-11年专业经验'],['数据分析'],['￥750']
['动视湾流创新集团'],['区块链成品APP|源生商城直播'],['￥2398']
['千界科技-国家高企十年老店'],[],[]
['千界科技-国家高企十年老店'],['saas支付宝微信公众号小程序商城H5'],['￥1288']
['由你创_软件行业源头工厂_国家双软认证'],['数据可视化大屏图像识别GIS分析处理软件开发'],['￥1000']
['来客科技-高新企业-11年专业经验'],['大数据插件脚本采集'],['￥2800']
['皮皮虾科技★十年经验'],['百度小程序抖音小程序微官网'],['￥1']
['皮皮虾科技★十年经验'],['百度小程序抖音小程序微官网'],['￥2680']
['完梦科技-有梦想找完梦'],['IT行业移动应用'],['￥2100']
['晟轩科技-入驻八戒16年国家技术企业'],['-微信平台开发-服务器--ios-安卓-小程'],['￥999']
['荣鹊网络科技'],['开发采集数据抓自动化脚本自动抢商品插件取程序'],['￥1000']
['广州秒知科技--8年专注开发-高质量-好服务-低总价'],['crm软件'],['￥4800']
['小跑科技-100人技术团队'],['/vue/java/APP小程序软件定制开发'],['￥3000']
['荣鹊网络科技'],['-小程序开发-微信商城-数据-机器人'],['￥1000']
['虎嗅科技-专精特新企业'],['脚本定制软件填表手机插件开发网页自动化办公'],['￥5000']
['羽羊网络科技'],['C++丨IOS丨PHP丨.NET丨'],['￥5188']
['羽羊网络科技'],['Java丨C++丨PHP丨.NET丨'],['￥5500']
['虎嗅科技-专精特新企业'],['APP移动端采集安卓'],['￥1999']
['艺点意创品牌策划有限公司'],['开发点餐小程序商城建设营销型教育网站后台管理系'],['￥1万']
['尧璧信科十年专注品质服务'],['微信小程序软件开发外包'],['￥1888']
['捷径科技-高品质技术开发商'],['CMS软件定制|'],['￥3000']
['云创游科技-14年游戏开发经验'],['开发/c++开发php开发java开发/go'],['￥300']
['莫道网络【品质老店】'],['企业网站/'],['￥2000']
['云创游科技-14年游戏开发经验'],['lua开发/java开发/go开发/'],['￥300']
['尧璧信科十年专注品质服务'],['微信小程序AI健身姿势识别评分'],['￥6888']
['动视湾流创新集团'],['地图poi数据网页采集自动化脚本'],['￥1198']
['迷古科技-斩获上海市科技成果一等奖'],['APP定制电商物流团购外卖教育社交安卓开发'],['￥5888']
['完梦科技-有梦想找完梦'],['app代做php小程序'],['￥1198']
['像素字节科技'],['EXCEL数据处理'],['￥5000']
['科技猫工作室'],['网页网站采集/抓取全网数据抓取/'],['￥100']
['飞鸿--科技'],['saas支付宝微信公众号小程序商城H5'],['￥1888']
['朱尔技术开发-助力企业发展'],['后端开发接口模块管理系统'],['￥3888']
['像素字节科技'],['H5小游戏后端定制开发微信'],['￥5000']
['创世网络网站建设'],['-微信平台开发-服务器-短信验证-ios-小程序'],['￥1000']
['飞鸿--科技'],['企业微信公众号'],['￥4899']
['小火软件'],['供求发布招聘求购任务赏金H5公众号'],['￥3688']
['简策科技'],['微信小程序软件开发外包'],['￥1300']
['伍迪时代整合营销'],['网站开发|前端开发|后端开发|php/'],['￥2888']
['上海闻峥-国家高新企业-八戒优质服务商5强'],['展示型网站定制开发前后端开发商城建设网页ui设计'],['￥3899']
['喜望软件-智慧出行软件供应商'],['微信'],['￥1万']
['木风科技-10年老店华为合作企业'],['秒杀小程序点餐外卖团购商城秒杀抢购系统'],['￥1460']
['拓冠科技-行业之星服务商'],['微信小程序商城定制开发教育电商h5源码'],['￥2860']
['科技猫工作室'],['/采集数据/数据抓取/网站抓取/*'],['￥100']
['专业软件定制开发拉利法科技'],['电商社交点餐直播商城成品'],['￥1万']
['虎克技术'],['脚本开发/自动化填表/数据抓取分析采集限时抢购'],['￥2.25万']
